World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank
33,211,3662497784,Enigma,258,warrior,408,E Class,0,22,11,27,17,0,38334335,6
15,212,3659099721,Osamu,258,warrior,394,Deadlysinz,0,17,13,45,27,0,36420969,17
34,213,3655016319,Legendzy,258,warrior,378,Game Over,0,16,13,18,12,0,48111925,6
15,214,3651686208,Chrisjon,258,warrior,317,Kawasaki,20,18,14,0,0,9,166138253,6
01,215,3649975346,Hitachi,258,warrior,378,Suicide Sq,0,32,19,56,33,0,0,0
32,216,3646610057,Soulcans,258,wizard,421,I Am Fine,0,14,5,23,8,0,713848785,1
33,217,3645136689,Goldstar,258,warrior,225,8 Dewa,10,23,12,0,0,29,156051651,2
01,218,3638294676,Vois,258,wizard,324,T6tiau,0,33,14,0,57,0,33030886,22
37,219,3636955484,Mrbun,258,warrior,321,Full House,0,15,11,69,42,0,6162444,16
02,220,3633361010,Zida,258,warrior,212,Thekillers,0,27,21,0,0,0,8612933,36
01,221,3633104972,Youzhen,258,warrior,237,T6tiau,0,34,20,0,0,0,33030886,22
23,222,3632718666,Quinzy,258,wizard,335,The Last,0,12,3,100,38,0,10067606,37
02,223,3630316884,Killerzin,258,wizard,327,Pau Mole,0,28,7,0,42,0,0,0
15,224,3629473456,Vot,258,warrior,234,Leqendary,0,19,15,0,0,0,0,0
37,225,3615949215,Redface,258,warrior,307,H Y D R A,0,16,12,96,59,0,81994266,3
36,226,3615590761,Omburhan,258,warrior,350,Happiness,0,21,15,41,26,0,47141704,4
01,227,3613117577,Carlsberg,258,warrior,312,W I N E,0,35,21,0,0,0,0,0
32,228,3612105808,Chiku,258,wizard,422,Javanesse,0,15,6,22,7,0,316044660,3
15,229,3605212004,Megaways,257,warrior,253,All Of One,0,20,16,0,0,0,20901316,23
01,230,3604813901,Beepop,257,warrior,424,Sri Gala,0,36,22,24,13,0,102755498,9
37,231,3598960091,Jayner,257,warrior,487,H Y D R A,0,17,13,3,2,0,81994266,3
11,232,3590588169,Richestman,257,warrior,366,Lovenlive,0,16,12,88,51,0,438317429,1
34,233,3589298183,Vienna,257,warrior,313,Asgard,0,17,14,52,37,0,81839505,4
37,234,3569309865,Kaido,257,wizard,320,F A K E,0,18,5,72,29,0,20192254,6
02,235,3565833675,Yasuna,257,wizard,323,R T F,0,29,8,0,46,0,45275170,11
09,236,3560612084,Renzyy,257,wizard,326,The Hero,0,11,2,97,45,0,441282249,1
37,237,3555905945,Ezarol,257,wizard,308,B L U E,0,19,6,94,38,0,243342,95
15,238,3550490525,Heroin,256,wizard,301,Deadlysinz,0,21,5,0,99,0,36420969,17
36,239,3548775704,Rizalkingz,256,warrior,331,Asal,0,22,16,68,47,0,1136690,44
11,240,3548750358,Kingbruz,256,warrior,415,Lovenlive,0,17,13,23,16,0,438317429,1
01,241,3546675897,Chivas,256,warrior,436,W I N E,0,37,23,20,10,0,0,0
02,242,3539222800,Angkalz,256,warrior,283,Dream Team,0,30,22,0,0,0,186655044,4
37,243,3537877664,Sheluv,256,warrior,226,Top Gun,0,20,14,0,0,0,7741777,15
11,244,3532541844,Bolg,256,warrior,424,Pvp Arena,0,18,14,18,12,0,0,0
01,245,3529950456,Maylovebr,256,wizard,501,Akatsuk,0,38,15,2,1,0,44011303,18
01,246,3527707783,Wizard,256,wizard,151,The Best,0,39,16,0,0,0,0,0
01,247,3525666336,Febriyan,256,warrior,298,Suicide Sq,0,40,24,0,0,0,0,0
01,248,3520414494,Amazing,256,wizard,127,The Best,0,41,17,0,0,0,0,0
01,249,3516907961,Qiqi,256,warrior,422,Sri Gala,0,42,25,27,15,0,102755498,9
02,250,3509879411,Illlllllll,256,warrior,305,Pau Mole,0,31,23,0,92,0,0,0
09,251,3507150278,Pfizer,256,warrior,357,M V P,0,12,10,43,22,0,13915659,35
11,252,3503234071,Eliewizz,256,wizard,354,5atu,0,19,5,0,46,0,0,0
15,253,3498909043,Brother,256,warrior,293,Night Sect,0,22,17,0,0,0,0,0
09,254,3492292698,Binancez,255,warrior,381,D A M A I,0,13,11,26,12,0,96204444,6
15,255,3482262134,Nextworks,255,wizard,424,Deadlysinz,0,23,6,20,7,0,36420969,17
36,256,3481232218,Raveen,255,warrior,368,Rudeboyz,0,23,17,30,18,0,12366203,15
32,257,3475199684,Psychopat,255,warrior,347, ,5,16,10,93,62,67,0,0
02,258,3469935349,Athithsama,255,wizard,239,Friendlove,0,32,9,0,0,0,0,0
32,259,3468840542,Mozter,255,warrior,409,Haoxiangni,0,17,11,27,18,0,134602058,5
32,260,3460384321,Brochu,255,warrior,387,Haoxiangni,0,18,12,44,30,0,134602058,5
